"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"medium","gijoe","100","100","100","100","3","3","3","3","3","3","0"
"medium","gijoe","100","100","100","100","2","3","3","3","3","3","190"
"medium","gijoe","100","100","100","100","2","2","3","3","3","3","190"
"medium","gijoe","100","100","100","100","2","2","2","3","3","3","190"
"medium","gijoe","100","100","100","100","2","2","2","2","3","3","225"
"medium","gijoe","100","94","96","92","3","2","2","2","4","3","240"
