"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"medium","uuuuuuuu","100","100","100","100","3","3","3","3","3","3","0"
"medium","uuuuuuuu","100","100","100","100","3","3","3","3","2","3","75"
"medium","uuuuuuuu","100","100","100","100","3","3","3","3","2","2","75"
"medium","uuuuuuuu","100","100","100","100","3","2","3","3","2","2","75"
"medium","uuuuuuuu","100","100","100","100","3","2","2","3","2","2","90"
"medium","uuuuuuuu","100","90","100","98","3","2","2","3","3","2","90"
