"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"hard","tom","100","100","100","100","3","3","3","3","3","3","0"
"hard","tom","100","100","100","100","3","2","3","3","3","3","435"
"hard","tom","100","100","100","100","3","1","3","3","3","3","465"
"hard","tom","100","100","100","100","3","0","3","3","3","3","480"
"hard","tom","100","100","100","100","3","0","3","3","2","3","780"
"hard","tom","88","88","0","13","3","0","3","3","2","3","795"
