"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"easy","guy","100","100","100","100","3","3","3","3","3","3","0"
"easy","guy","100","100","100","100","2","3","3","3","3","3","15"
"easy","guy","100","100","100","100","1","3","3","3","3","3","30"
"easy","guy","100","100","100","100","0","3","3","3","3","3","45"
"easy","guy","100","96","99","96","0","3","3","3","3","3","60"
"easy","guy","100","95","98","95","0","3","3","3","3","3","75"
"easy","guy","100","94","97","94","0","3","3","3","3","3","90"
