"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"medium","kitty","100","100","100","100","3","3","3","3","3","3","0"
"medium","kitty","100","100","100","100","3","3","3","3","3","2","0"
"medium","kitty","100","100","100","100","3","3","3","3","3","1","0"
"medium","kitty","100","98","98","98","3","4","3","3","3","1","15"
"medium","kitty","100","98","98","98","3","4","3","3","3","0","15"
"medium","kitty","100","98","98","98","3","4","3","3","2","0","30"
"medium","kitty","100","96","96","100","3","4","3","3","3","0","30"
