"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"hard","XXX","100","100","100","100","3","3","3","3","3","3","0"
"hard","XXX","100","100","100","100","3","3","2","3","3","3","70"
"hard","XXX","100","100","100","100","2","3","2","3","3","3","175"
"hard","XXX","100","100","100","100","1","3","2","3","3","3","205"
"hard","XXX","100","100","100","100","0","3","2","3","3","3","220"
"hard","XXX","97","85","88","55","0","3","2","3","3","3","280"
"hard","XXX","97","85","88","55","0","3","2","3","3","3","280"
