"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"easy","leo","100","100","100","100","3","3","3","3","3","3","0"
"easy","leo","100","60","39","79","3","3","3","3","3","3","1085"
"easy","leo","100","59","38","78","3","3","3","3","3","3","1100"
"easy","leo","100","59","38","78","2","3","3","3","3","3","1130"
"easy","leo","100","59","38","78","1","3","3","3","3","3","1175"
"easy","leo","100","59","38","78","0","3","3","3","3","3","1205"
"easy","leo","100","56","95","75","0","3","3","3","3","3","1235"
"easy","leo","100","56","95","75","0","3","3","3","3","3","1235"
