"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"hard","yyy","100","100","100","100","3","3","3","3","3","3","0"
"hard","yyy","100","91","91","91","3","3","3","3","3","3","45"
"hard","yyy","100","91","91","91","3","2","3","3","3","3","340"
"hard","yyy","100","91","91","91","3","2","2","3","3","3","400"
"hard","yyy","100","91","91","91","3","2","1","3","3","3","445"
"hard","yyy","100","91","91","91","2","2","1","3","3","3","490"
"hard","yyy","97","94","25","7","2","2","1","3","3","3","630"
