"Type","Name","Health","Sleep","Fullness","Happiness","Pie","Banana","Pizza","Ball","Plush Toy","Sword","Score"
"hard","king","100","100","100","100","3","3","3","3","3","3","0"
"hard","king","100","100","100","100","2","3","3","3","3","3","490"
"hard","king","100","100","100","100","1","3","3","3","3","3","520"
"hard","king","100","100","100","100","0","3","3","3","3","3","550"
"hard","king","100","100","100","100","0","3","2","3","3","3","610"
"hard","king","100","100","100","100","0","3","1","3","3","3","655"
"hard","king","100","100","100","100","0","3","0","3","3","3","730"
"hard","king","94","55","51","0","0","3","0","3","3","3","880"
